interface removed, # affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies
as3border1:GigabitEthernet0/0, 2, empty, 0, 0, 0, 0
as3border1:GigabitEthernet0/0, 2, neighbor, 4, 0, 21, 16
as3border1:GigabitEthernet0/0, 2, crystal-net, 7, 0, 37, 42
as3border1:GigabitEthernet0/0, 2, heimdall, 12, 0, 61, 62
as3border1:GigabitEthernet0/0, 2, heimdall_interface, 34, 0, 33, 37
as3border1:GigabitEthernet0/0, 2, heimdall_end_nodes, 12, 0, 61, 62
as3border1:GigabitEthernet0/0, 2, heimdall_intersect, 4, 0, 19, 35
as2core2:GigabitEthernet1/0, 2, base, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 2, empty, 0, 0, 0, 0
as2core2:GigabitEthernet1/0, 2, neighbor, 3, 1, 17, 38
as2core2:GigabitEthernet1/0, 2, crystal-net, 7, 1, 38, 53
as2core2:GigabitEthernet1/0, 2, heimdall, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 2, heimdall_interface, 33, 0, 32, 54
as2core2:GigabitEthernet1/0, 2, heimdall_end_nodes, 13, 1, 65, 70
as2core2:GigabitEthernet1/0, 2, heimdall_intersect, 13, 1, 65, 70
as3core1:GigabitEthernet1/0, 2, base, 13, 1, 65, 62
as3core1:GigabitEthernet1/0, 2, empty, 0, 0, 0, 0
as3core1:GigabitEthernet1/0, 2, neighbor, 2, 0, 9, 19
as3core1:GigabitEthernet1/0, 2, crystal-net, 2, 0, 9, 19
as3core1:GigabitEthernet1/0, 2, heimdall, 11, 1, 56, 62
as3core1:GigabitEthernet1/0, 2, heimdall_interface, 25, 0, 24, 32
as3core1:GigabitEthernet1/0, 2, heimdall_end_nodes, 7, 1, 34, 42
as3core1:GigabitEthernet1/0, 2, heimdall_intersect, 7, 1, 34, 42
as2core2:GigabitEthernet2/0, 2, base, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 2, empty, 0, 0, 0, 0
as2core2:GigabitEthernet2/0, 2, neighbor, 2, 0, 11, 37
as2core2:GigabitEthernet2/0, 2, crystal-net, 7, 1, 38, 53
as2core2:GigabitEthernet2/0, 2, heimdall, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 2, heimdall_interface, 33, 0, 33, 54
as2core2:GigabitEthernet2/0, 2, heimdall_end_nodes, 13, 1, 65, 70
as2core2:GigabitEthernet2/0, 2, heimdall_intersect, 13, 1, 65, 70
as2dist2:GigabitEthernet1/0, 2, base, 13, 1, 65, 70
as2dist2:GigabitEthernet1/0, 2, empty, 0, 0, 0, 0
as2dist2:GigabitEthernet1/0, 2, neighbor, 3, 1, 17, 41
as2dist2:GigabitEthernet1/0, 2, crystal-net, 7, 1, 38, 53
as2dist2:GigabitEthernet1/0, 2, heimdall, 7, 1, 38, 53
