interface removed, # affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies
as2border1:GigabitEthernet2/0, 6, heimdall_intersect, 13, 1, 65, 70
as2border1:GigabitEthernet2/0, 6, heimdall_intersect2, 13, 1, 65, 70
as2border1:GigabitEthernet2/0, 6, heimdall_intersect3, 13, 1, 65, 70
as2border1:GigabitEthernet2/0, 6, heimdall_intersect4, 13, 1, 65, 70
as2border2:GigabitEthernet2/0, 14, base, 13, 1, 65, 58
as2border2:GigabitEthernet2/0, 14, empty, 0, 0, 0, 0
as2border2:GigabitEthernet2/0, 14, neighbor, 8, 0, 43, 52
as2border2:GigabitEthernet2/0, 14, crystal-net, 11, 1, 57, 56
as2border2:GigabitEthernet2/0, 14, heimdall, 13, 1, 65, 58
as2border2:GigabitEthernet2/0, 14, heimdall_interface, 35, 0, 34, 38
as2border2:GigabitEthernet2/0, 14, heimdall_end_nodes, 13, 1, 65, 58
as2border2:GigabitEthernet2/0, 14, heimdall_intersect, 3, 0, 13, 19
as2border2:GigabitEthernet2/0, 14, heimdall_intersect2, 13, 1, 65, 58
as2border2:GigabitEthernet2/0, 14, heimdall_intersect3, 7, 1, 34, 40
as2border2:GigabitEthernet2/0, 14, heimdall_intersect4, 10, 1, 51, 52
as2core2:Loopback0, 6, base, 13, 1, 65, 65
as2core2:Loopback0, 6, empty, 0, 0, 0, 0
as2core2:Loopback0, 6, neighbor, 5, 1, 28, 43
as2core2:Loopback0, 6, crystal-net, 7, 1, 38, 48
as2core2:Loopback0, 6, heimdall, 13, 1, 65, 65
as2core2:Loopback0, 6, heimdall_interface, 35, 0, 34, 45
as2core2:Loopback0, 6, heimdall_end_nodes, 13, 1, 65, 65
as2core2:Loopback0, 6, heimdall_intersect, 13, 1, 65, 65
as2core2:Loopback0, 6, heimdall_intersect2, 13, 1, 65, 65
as2core2:Loopback0, 6, heimdall_intersect3, 13, 1, 65, 65
as2core2:Loopback0, 6, heimdall_intersect4, 13, 1, 65, 65
as1border1:Loopback0, 15, base, 13, 1, 65, 60
