interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect3, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, complete,3, heimdall_intersect4, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, complete,3, neighbor, 3, 1, 13, 18,3
as1border2:GigabitEthernet2/0, random-2,2, base, 13, 1, 65, 67,13
as1border2:GigabitEthernet2/0, random-2,2, crystal-net, 2, 1, 9, 14,2
as1border2:GigabitEthernet2/0, random-2,2, empty, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, random-2,2, heimdall, 12, 1, 60, 67,12
as1border2:GigabitEthernet2/0, random-2,2, heimdall_end_nodes, 8, 1, 38, 47,8
as1border2:GigabitEthernet2/0, random-2,2, heimdall_interface, 26, 0, 25, 35,25
as1border2:GigabitEthernet2/0, random-2,2, heimdall_intersect, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, random-2,2, heimdall_intersect2, 0, 0, 0, 0,0
as1border2:GigabitEthernet2/0, random-2,2, neighbor, 2, 1, 9, 14,2
as1border2:Loopback0, complete,3, base, 13, 1, 65, 65,13
as1border2:Loopback0, complete,3, crystal-net, 4, 1, 17, 22,4
as1border2:Loopback0, complete,3, empty, 0, 0, 0, 0,0
as1border2:Loopback0, complete,3, heimdall, 13, 1, 65, 65,13
as1border2:Loopback0, complete,3, heimdall_end_nodes, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_interface, 30, 0, 29, 40,29
as1border2:Loopback0, complete,3, heimdall_intersect, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_intersect2, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_intersect3, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, heimdall_intersect4, 8, 1, 38, 45,8
as1border2:Loopback0, complete,3, neighbor, 3, 1, 13, 20,3
as1border2:Loopback0, random-2,2, base, 13, 1, 65, 65,13
as1border2:Loopback0, random-2,2, crystal-net, 2, 1, 9, 16,2
as1border2:Loopback0, random-2,2, empty, 0, 0, 0, 0,0
as1border2:Loopback0, random-2,2, heimdall, 13, 1, 65, 65,13
